asv_id	sample	nreads
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB20	5
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA99	119276
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB21	10
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB24	2
8bcb02b4a7c8f77f76efd3e2fee2dd51	MB25	38
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA20	6
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA21	6
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA22	336
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA23	377
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA24	679
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA25	374
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA26	191
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA27	277
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA40	167055
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA41	145722
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA28	3
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA42	188532
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA29	1
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA43	72494
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA44	61965
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA45	47268
61e819d335cfaa2da03f374621a9b56b	EDNA46	25887
61e819d335cfaa2da03f374621a9b56b	EDNA1	58308
61e819d335cfaa2da03f374621a9b56b	EDNA60	29720
61e819d335cfaa2da03f374621a9b56b	EDNA47	39567
61e819d335cfaa2da03f374621a9b56b	EDNA2	28131
61e819d335cfaa2da03f374621a9b56b	EDNA61	30213
61e819d335cfaa2da03f374621a9b56b	EDNA48	23508
61e819d335cfaa2da03f374621a9b56b	EDNA3	119852
61e819d335cfaa2da03f374621a9b56b	EDNA62	37991
61e819d335cfaa2da03f374621a9b56b	EDNA49	4
61e819d335cfaa2da03f374621a9b56b	EDNA63	58573
61e819d335cfaa2da03f374621a9b56b	EDNA64	2
61e819d335cfaa2da03f374621a9b56b	EDNA7	54383
61e819d335cfaa2da03f374621a9b56b	EDNA8	53532
61e819d335cfaa2da03f374621a9b56b	EDNA9	85253
61e819d335cfaa2da03f374621a9b56b	EDNA80	2086
61e819d335cfaa2da03f374621a9b56b	EDNA67	2
61e819d335cfaa2da03f374621a9b56b	EDNA81	2734
61e819d335cfaa2da03f374621a9b56b	EDNA68	4
61e819d335cfaa2da03f374621a9b56b	EDNA82	377
61e819d335cfaa2da03f374621a9b56b	EDNA83	391
61e819d335cfaa2da03f374621a9b56b	EDNA84	310
61e819d335cfaa2da03f374621a9b56b	EDNA85	1647
61e819d335cfaa2da03f374621a9b56b	EDNA86	1510
61e819d335cfaa2da03f374621a9b56b	EDNA87	1110
61e819d335cfaa2da03f374621a9b56b	EDNA88	5
61e819d335cfaa2da03f374621a9b56b	EDNA89	7
61e819d335cfaa2da03f374621a9b56b	MB11	273
61e819d335cfaa2da03f374621a9b56b	MB12	6
61e819d335cfaa2da03f374621a9b56b	MB13	276
61e819d335cfaa2da03f374621a9b56b	MB14	2
